source,station_name,line_name,passenger_flow,latitude,longitude
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Народное Ополчение,Большая кольцевая линия,12365660,55.77535736,37.48359685
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новаторская,Большая кольцевая линия,4846964,55.66906208,37.52407575
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Петровский парк,Большая кольцевая линия,9683130,55.7926515,37.55864226
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Печатники,Большая кольцевая линия,5287642,55.69456709,37.72881957
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Проспект Вернадского,Большая кольцевая линия,4944357,55.67793327,37.50546647
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Рижская,Большая кольцевая линия,4468002,55.79254739,37.63370014
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Савёловская,Большая кольцевая линия,10609543,55.79339346,37.58440668
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Сокольники,Большая кольцевая линия,11500812,55.7894201,37.67893615
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Текстильщики,Большая кольцевая линия,11008394,55.70854622,37.72818572
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Терехово,Большая кольцевая линия,3615880,55.74744372,37.45957887
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Хорошёвская,Большая кольцевая линия,7662648,55.7774709,37.51710581
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,ЦСКА,Большая кольцевая линия,17813106,55.7856852,37.53194843
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Шелепиха,Большая кольцевая линия,0,55.75594273,37.52442841
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Электрозаводская,Большая кольцевая линия,10384258,55.78094081,37.70393196
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Битцевский парк,Бутовская линия Лёгкого метро,1338577,55.60044263,37.55642695
